bank_txn_id,bank_reference,txn_type,amount,value_date,narration
TXN4296237088,126332296617,credit,337095,2026-08-16 01:05:00,NEFT SETTLEMENT 126332296617
TXN0988308904,982661757503,credit,215126,2026-08-20 02:28:00,NEFT SETTLEMENT 982661757503
TXN5570558190,927449957129,credit,473261,2026-08-05 11:31:00,NEFT SETTLEMENT 927449957129
TXN2076275400,526726249804,credit,104890,2026-08-07 20:27:00,NEFT SETTLEMENT 526726249804
TXN1473653527,926395919192,credit,461839,2026-09-16 05:34:00,NEFT SETTLEMENT 926395919192
TXN6888728645,109674857331,credit,10629,2026-09-05 18:45:00,NEFT SETTLEMENT 109674857331
TXN8619734353,103693706617,credit,357426,2026-08-28 05:49:00,NEFT SETTLEMENT 103693706617
TXN1157124795,635454737221,credit,444675,2026-08-29 16:52:00,NEFT SETTLEMENT 635454737221
TXN6026850785,894434254587,credit,86140,2026-09-08 10:46:00,NEFT SETTLEMENT 894434254587
TXN8833778006,547461493668,credit,251500,2026-08-18 15:54:00,NEFT SETTLEMENT 547461493668
TXN6476100912,723636469366,credit,156271,2026-08-17 20:48:00,NEFT SETTLEMENT 723636469366
TXN5827752995,802690397285,debit,160048,2026-08-20 20:48:00,REFUND DEBIT 802690397285
TXN3190800785,677242344046,credit,418535,2026-08-14 03:49:00,NEFT SETTLEMENT 677242344046
TXN4271426460,377500166264,credit,309983,2026-09-07 19:14:00,NEFT SETTLEMENT 377500166264
TXN7477495668,937882116761,credit,212104,2026-09-10 01:55:00,NEFT SETTLEMENT 937882116761
TXN5575686511,650393719127,credit,41437,2026-08-31 03:53:00,NEFT SETTLEMENT 650393719127
TXN0742010959,773058174668,credit,435221,2026-08-11 16:15:00,NEFT SETTLEMENT 773058174668
TXN3401332901,086412639014,credit,287749,2026-09-02 09:01:00,NEFT SETTLEMENT 086412639014
TXN8531929520,964638761949,credit,274805,2026-09-01 19:38:00,NEFT SETTLEMENT 964638761949
TXN7119484034,214109849989,credit,110254,2026-09-12 18:51:00,NEFT SETTLEMENT 214109849989
TXN8652695204,723857283695,credit,132997,2026-08-26 20:13:00,NEFT SETTLEMENT 723857283695
TXN2596165265,163989822734,credit,280588,2026-09-12 21:37:00,NEFT SETTLEMENT 163989822734
TXN6443409490,283767032616,credit,336337,2026-08-17 01:57:00,NEFT SETTLEMENT 283767032616
TXN7387503099,467484014556,credit,206121,2026-08-25 15:24:00,NEFT SETTLEMENT 467484014556
TXN5782895425,820457719295,credit,45095,2026-09-02 01:09:00,NEFT SETTLEMENT 820457719295
TXN3384877323,777967323246,credit,312646,2026-08-14 21:50:00,NEFT SETTLEMENT 777967323246
TXN6237094262,052908689101,credit,33167,2026-09-14 07:49:00,NEFT SETTLEMENT 052908689101
TXN3946606770,590483793702,credit,471813,2026-08-08 22:47:00,NEFT SETTLEMENT 590483793702
TXN1337697327,838448653664,credit,88712,2026-08-27 21:56:00,NEFT SETTLEMENT 838448653664
TXN1689563213,311649333134,credit,22337,2026-09-02 03:36:00,NEFT SETTLEMENT 311649333134
TXN7285376112,591872943849,credit,82127,2026-09-04 13:27:00,NEFT SETTLEMENT 591872943849
TXN0680914949,398432518787,credit,115700,2026-08-06 19:36:00,NEFT SETTLEMENT 398432518787
