entity_id,type,order_id,payment_id,refund_id,method,amount,debit,credit,fee,tax,bank_reference,created_at,settled_at
setl_H8xIZM1JRcoreo,payment,order_TpigTHKbfoLISR,pay_nKYaXRvj7uff0L,,UPI,337095,0,337095,6905,1243,126332296617,2026-08-08 01:05:00,2026-08-10 01:05:00
setl_aSQHqNgAC72qFl,payment,order_n62tOy4CqpIqK3,pay_w9iEU1jjQKxKDp,,EMI,215126,0,215126,4406,793,982661757503,2026-08-18 02:28:00,2026-08-20 02:28:00
setl_1Id9Z850kEnydx,payment,order_eoPni6JDWYlgAA,pay_1dOOdTXglHilC2,,UPI,473261,0,473261,9694,1745,927449957129,2026-08-03 11:31:00,2026-08-05 11:31:00
setl_jZRL9OaYsP6ihg,payment,order_e1z6JJcfOJtqPt,pay_yPstUeC99enq52,,CARD,104890,0,104890,2148,387,526726249804,2026-08-05 20:27:00,2026-08-07 20:27:00
setl_Wg21nYCsXoblu1,payment,order_HZKjht3X13npgW,pay_28U5okXkzl5WzP,,CARD,461839,0,461839,9460,1703,926395919192,2026-09-14 05:34:00,2026-09-16 05:34:00
setl_PFX7TOrPMf7otY,payment,order_Q6TmA65MPh3FPu,pay_shA6P3MsHarAJO,,WALLET,10629,0,10629,218,39,109674857331,2026-09-03 18:45:00,2026-09-05 18:45:00
setl_dzHzmA4KR1Vxav,payment,order_iCGItUBY3A4Bj1,pay_qpNVGMrerqtHio,,CARD,479430,0,479430,9820,1768,789475622403,2026-08-08 15:49:00,2026-08-10 15:49:00
setl_bjhPInRVkLUhY7,payment,order_058H4KPfA1lquC,pay_VxUZpfbH9vOWOU,,CARD,357426,0,357426,7321,1318,103693706617,2026-08-26 05:49:00,2026-08-28 05:49:00
setl_Rra6fSEVQOEXfn,payment,order_g7NZRBT7qYHDBT,pay_tp5rBUJPuEuEvq,,NETBANKING,444675,0,444675,9108,1639,635454737221,2026-08-27 16:52:00,2026-08-29 16:52:00
setl_oqXKXmhnjqidXK,payment,order_fpIzKMWx4sKAJd,pay_gVMqfoIjzQDcrr,,WALLET,86140,0,86140,1764,318,894434254587,2026-09-06 10:46:00,2026-09-08 10:46:00
setl_EBdqir2EbNXSta,payment,order_GBr9BY8DztgjzE,pay_6YICtu8zF9OHzl,,NETBANKING,400410,0,400410,8202,1476,428196192744,2026-08-12 16:25:00,2026-08-14 16:25:00
setl_URYxPY8EcFK12B,payment,order_Ix5F21rWz5FYrs,pay_JO1BEuVx518ox1,,WALLET,251500,0,251500,5152,927,547461493668,2026-08-16 15:54:00,2026-08-18 15:54:00
setl_jBvKNAp0mxDoJJ,payment,order_UAgN2BR4cXsxjG,pay_QlkLxQEKoNCP3C,,NETBANKING,481201,0,481201,9857,1774,929625670649,2026-08-19 08:04:00,2026-08-21 08:04:00
setl_DeUnPPy0Ifyqhw,payment,order_XnlpUVQigMcWcw,pay_fsUkiH8G4ZpZDY,,NETBANKING,156271,0,156271,3201,576,723636469366,2026-08-15 20:48:00,2026-08-17 20:48:00
setl_fLerNHu9GCLgR0,payment,order_ObaWoukdTGUDWF,pay_CnMT4OsNb90AgS,,WALLET,418535,0,418535,8573,1543,677242344046,2026-08-12 03:49:00,2026-08-14 03:49:00
setl_Rtva1JyiNbUnAv,payment,order_uhvPU1S8LvJnOn,pay_vIhroAIVMPILOQ,,UPI,309983,0,309983,6350,1143,377500166264,2026-09-05 19:14:00,2026-09-07 19:14:00
setl_5f0pKGytvukFhF,payment,order_asnipuaUkxRFZX,pay_yUBCetAzNrz7k6,,WALLET,212104,0,212104,4345,782,937882116761,2026-09-08 01:55:00,2026-09-10 01:55:00
setl_OPhRfINuhR694f,payment,order_YZ8fOcR9GLw4yW,pay_LWOefQrSO42uKi,,NETBANKING,41437,0,41437,849,153,650393719127,2026-08-29 03:53:00,2026-08-31 03:53:00
setl_FhfjBFZf4Y25zy,payment,order_ScwS8LUWoo7W4m,pay_69CrxG7YXipN2I,,UPI,364441,0,364441,7465,1344,330230731094,2026-09-09 06:01:00,2026-09-11 06:01:00
setl_GF9IyDN8pbWvTM,payment,order_BaepZITGgrscAX,pay_dZEHNJSsavJlPG,,NETBANKING,435221,0,435221,8915,1605,773058174668,2026-08-09 16:15:00,2026-08-11 16:15:00
setl_BBT4MANXdPzFUj,payment,order_cOr1cOqXByB7vl,pay_E5GXTeLYHteOtL,,WALLET,287749,0,287749,5894,1061,086412639014,2026-08-31 09:01:00,2026-09-02 09:01:00
setl_bIwXILft9SGVZe,payment,order_hWRnLR9miekS9Y,pay_9PRIssjRRkwn9X,,CARD,274805,0,274805,5629,1013,964638761949,2026-08-25 19:38:00,2026-08-27 19:38:00
setl_QjzCvi1t9vyVFg,payment,order_rMMfNKKkM3u5c1,pay_cNJOVzNEMr7DXQ,,NETBANKING,110254,0,110254,2258,406,214109849989,2026-09-10 18:51:00,2026-09-12 18:51:00
setl_mFFciuDCLFuMk9,payment,order_vdE2ODH0A2TVwy,pay_IwrxBIZMLhfx9I,,NETBANKING,132997,0,132997,2724,490,723857283695,2026-08-14 20:13:00,2026-08-16 20:13:00
setl_lpIn8srmRtv5Xq,payment,order_WxYpJRlBzzmFLD,pay_TdimuPGtk4vvVS,,NETBANKING,278126,0,278126,5697,1025,163989822734,2026-09-10 21:37:00,2026-09-12 21:37:00
setl_U2rcsL5uCNG3iF,payment,order_guDQi78jO2DOUr,pay_O4fJHS64k2k59y,,WALLET,336337,0,336337,6889,1240,283767032616,2026-08-15 01:57:00,2026-08-17 01:57:00
setl_QKWGGw4gZ3mHk0,payment,order_U7sSaOQdhtzF3R,pay_QN6wn7DC9xR4UX,,CARD,206121,0,206121,4222,760,467484014556,2026-08-16 15:24:00,2026-08-18 15:24:00
