case_id,entity_id,case_type,order_id,payment_id,method,settlement_id,refund_id,bank_txn_id,expected_amount,actual_amount,variance,transaction_date,settlement_date,bank_value_date,candidate_count,confidence_score,evidence,reason,recommended_action,decision,status
MATCH-001,setl_aSQHqNgAC72qFl,CLEAN_MATCH,order_n62tOy4CqpIqK3,pay_w9iEU1jjQKxKDp,EMI,setl_aSQHqNgAC72qFl,,TXN0988308904,2151.26,2151.26,0.0,2026-08-18,2026-08-20,2026-08-20,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN0988308904"", ""bank_amount"": 215126, ""bank_value_date"": ""2026-08-20T02:28:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-002,setl_1Id9Z850kEnydx,CLEAN_MATCH,order_eoPni6JDWYlgAA,pay_1dOOdTXglHilC2,UPI,setl_1Id9Z850kEnydx,,TXN5570558190,4732.61,4732.61,0.0,2026-08-03,2026-08-05,2026-08-05,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN5570558190"", ""bank_amount"": 473261, ""bank_value_date"": ""2026-08-05T11:31:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-003,setl_jZRL9OaYsP6ihg,CLEAN_MATCH,order_e1z6JJcfOJtqPt,pay_yPstUeC99enq52,CARD,setl_jZRL9OaYsP6ihg,,TXN2076275400,1048.9,1048.9,0.0,2026-08-05,2026-08-07,2026-08-07,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN2076275400"", ""bank_amount"": 104890, ""bank_value_date"": ""2026-08-07T20:27:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-004,setl_Wg21nYCsXoblu1,CLEAN_MATCH,order_HZKjht3X13npgW,pay_28U5okXkzl5WzP,CARD,setl_Wg21nYCsXoblu1,,TXN1473653527,4618.39,4618.39,0.0,2026-09-14,2026-09-16,2026-09-16,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN1473653527"", ""bank_amount"": 461839, ""bank_value_date"": ""2026-09-16T05:34:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-005,setl_PFX7TOrPMf7otY,CLEAN_MATCH,order_Q6TmA65MPh3FPu,pay_shA6P3MsHarAJO,WALLET,setl_PFX7TOrPMf7otY,,TXN6888728645,106.29,106.29,0.0,2026-09-03,2026-09-05,2026-09-05,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN6888728645"", ""bank_amount"": 10629, ""bank_value_date"": ""2026-09-05T18:45:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-006,setl_bjhPInRVkLUhY7,CLEAN_MATCH,order_058H4KPfA1lquC,pay_VxUZpfbH9vOWOU,CARD,setl_bjhPInRVkLUhY7,,TXN8619734353,3574.26,3574.26,0.0,2026-08-26,2026-08-28,2026-08-28,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN8619734353"", ""bank_amount"": 357426, ""bank_value_date"": ""2026-08-28T05:49:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-007,setl_Rra6fSEVQOEXfn,CLEAN_MATCH,order_g7NZRBT7qYHDBT,pay_tp5rBUJPuEuEvq,NETBANKING,setl_Rra6fSEVQOEXfn,,TXN1157124795,4446.75,4446.75,0.0,2026-08-27,2026-08-29,2026-08-29,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN1157124795"", ""bank_amount"": 444675, ""bank_value_date"": ""2026-08-29T16:52:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-008,setl_oqXKXmhnjqidXK,CLEAN_MATCH,order_fpIzKMWx4sKAJd,pay_gVMqfoIjzQDcrr,WALLET,setl_oqXKXmhnjqidXK,,TXN6026850785,861.4,861.4,0.0,2026-09-06,2026-09-08,2026-09-08,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN6026850785"", ""bank_amount"": 86140, ""bank_value_date"": ""2026-09-08T10:46:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-009,setl_URYxPY8EcFK12B,CLEAN_MATCH,order_Ix5F21rWz5FYrs,pay_JO1BEuVx518ox1,WALLET,setl_URYxPY8EcFK12B,,TXN8833778006,2515.0,2515.0,0.0,2026-08-16,2026-08-18,2026-08-18,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN8833778006"", ""bank_amount"": 251500, ""bank_value_date"": ""2026-08-18T15:54:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-010,setl_DeUnPPy0Ifyqhw,CLEAN_MATCH,order_XnlpUVQigMcWcw,pay_fsUkiH8G4ZpZDY,NETBANKING,setl_DeUnPPy0Ifyqhw,,TXN6476100912,1562.71,1562.71,0.0,2026-08-15,2026-08-17,2026-08-17,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN6476100912"", ""bank_amount"": 156271, ""bank_value_date"": ""2026-08-17T20:48:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
MATCH-011,setl_fLerNHu9GCLgR0,CLEAN_MATCH,order_ObaWoukdTGUDWF,pay_CnMT4OsNb90AgS,WALLET,setl_fLerNHu9GCLgR0,,TXN3190800785,4185.35,4185.35,0.0,2026-08-12,2026-08-14,2026-08-14,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN3190800785"", ""bank_amount"": 418535, ""bank_value_date"": ""2026-08-14T03:49:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}","Exact reference, exact amount, credited within the expected settlement window.",No action needed.,AUTO_RESOLVE,RESOLVED
