payment_id,order_id,amount,currency,status,method,created_at,captured_at
pay_nKYaXRvj7uff0L,order_TpigTHKbfoLISR,345243,INR,captured,UPI,2026-08-08 00:51:00,2026-08-08 01:05:00
pay_w9iEU1jjQKxKDp,order_n62tOy4CqpIqK3,220325,INR,captured,EMI,2026-08-18 02:15:00,2026-08-18 02:28:00
pay_1dOOdTXglHilC2,order_eoPni6JDWYlgAA,484700,INR,captured,UPI,2026-08-03 11:16:00,2026-08-03 11:31:00
pay_yPstUeC99enq52,order_e1z6JJcfOJtqPt,107425,INR,captured,CARD,2026-08-05 20:18:00,2026-08-05 20:27:00
pay_28U5okXkzl5WzP,order_HZKjht3X13npgW,473002,INR,captured,CARD,2026-09-14 05:05:00,2026-09-14 05:34:00
pay_shA6P3MsHarAJO,order_Q6TmA65MPh3FPu,10886,INR,captured,WALLET,2026-09-03 18:22:00,2026-09-03 18:45:00
pay_qpNVGMrerqtHio,order_iCGItUBY3A4Bj1,491018,INR,captured,CARD,2026-08-08 15:34:00,2026-08-08 15:49:00
pay_VxUZpfbH9vOWOU,order_058H4KPfA1lquC,366065,INR,captured,CARD,2026-08-26 05:38:00,2026-08-26 05:49:00
pay_tp5rBUJPuEuEvq,order_g7NZRBT7qYHDBT,455422,INR,captured,NETBANKING,2026-08-27 16:43:00,2026-08-27 16:52:00
pay_gVMqfoIjzQDcrr,order_fpIzKMWx4sKAJd,88222,INR,captured,WALLET,2026-09-06 10:22:00,2026-09-06 10:46:00
pay_6YICtu8zF9OHzl,order_GBr9BY8DztgjzE,410088,INR,captured,NETBANKING,2026-08-12 16:03:00,2026-08-12 16:25:00
pay_JO1BEuVx518ox1,order_Ix5F21rWz5FYrs,257579,INR,captured,WALLET,2026-08-16 15:35:00,2026-08-16 15:54:00
pay_QlkLxQEKoNCP3C,order_UAgN2BR4cXsxjG,492832,INR,captured,NETBANKING,2026-08-19 07:45:00,2026-08-19 08:04:00
pay_fsUkiH8G4ZpZDY,order_XnlpUVQigMcWcw,160048,INR,captured,NETBANKING,2026-08-15 20:43:00,2026-08-15 20:48:00
pay_CnMT4OsNb90AgS,order_ObaWoukdTGUDWF,428651,INR,captured,WALLET,2026-08-12 03:45:00,2026-08-12 03:49:00
pay_vIhroAIVMPILOQ,order_uhvPU1S8LvJnOn,317476,INR,captured,UPI,2026-09-05 19:10:00,2026-09-05 19:14:00
pay_yUBCetAzNrz7k6,order_asnipuaUkxRFZX,217231,INR,captured,WALLET,2026-09-08 01:52:00,2026-09-08 01:55:00
pay_LWOefQrSO42uKi,order_YZ8fOcR9GLw4yW,42439,INR,captured,NETBANKING,2026-08-29 03:31:00,2026-08-29 03:53:00
pay_69CrxG7YXipN2I,order_ScwS8LUWoo7W4m,373250,INR,captured,UPI,2026-09-09 05:39:00,2026-09-09 06:01:00
pay_dZEHNJSsavJlPG,order_BaepZITGgrscAX,445741,INR,captured,NETBANKING,2026-08-09 16:00:00,2026-08-09 16:15:00
pay_E5GXTeLYHteOtL,order_cOr1cOqXByB7vl,294704,INR,captured,WALLET,2026-08-31 08:38:00,2026-08-31 09:01:00
pay_9PRIssjRRkwn9X,order_hWRnLR9miekS9Y,281447,INR,captured,CARD,2026-08-25 19:10:00,2026-08-25 19:38:00
pay_cNJOVzNEMr7DXQ,order_rMMfNKKkM3u5c1,112918,INR,captured,NETBANKING,2026-09-10 18:48:00,2026-09-10 18:51:00
pay_IwrxBIZMLhfx9I,order_vdE2ODH0A2TVwy,136211,INR,captured,NETBANKING,2026-08-14 19:54:00,2026-08-14 20:13:00
pay_TdimuPGtk4vvVS,order_WxYpJRlBzzmFLD,284848,INR,captured,NETBANKING,2026-09-10 21:09:00,2026-09-10 21:37:00
pay_O4fJHS64k2k59y,order_guDQi78jO2DOUr,344466,INR,captured,WALLET,2026-08-15 01:47:00,2026-08-15 01:57:00
pay_QN6wn7DC9xR4UX,order_U7sSaOQdhtzF3R,211103,INR,captured,CARD,2026-08-16 15:14:00,2026-08-16 15:24:00
pay_OvlHGTnabsPHGZ,order_rliNT7x3B4xe72,46185,INR,captured,CARD,2026-08-31 01:04:00,2026-08-31 01:09:00
pay_RX4I8IipmO50fS,order_QIcvNxGRzslHon,320203,INR,captured,CARD,2026-08-12 21:22:00,2026-08-12 21:50:00
pay_7NEkXkSE4HNdc0,order_TbIKSsmoJpI6uV,33968,INR,captured,UPI,2026-09-06 07:33:00,2026-09-06 07:49:00
pay_Gcn13Dce53Ic5t,order_9ObzxDNRf0Nu88,444143,INR,captured,CARD,2026-08-06 22:18:00,2026-08-06 22:47:00
pay_fLuxsyf348Jkxi,order_jywf6BVgfAIFgf,90856,INR,captured,NETBANKING,2026-08-25 21:38:00,2026-08-25 21:56:00
pay_NpOSWe9DyF5QHX,order_m9lVbT6mXZe0XP,201373,INR,captured,NETBANKING,2026-08-08 19:14:00,2026-08-08 19:19:00
pay_Yh0OPk9pkjI7oz,order_s5fZTvvWGvgSCe,22877,INR,captured,CARD,2026-08-31 03:34:00,2026-08-31 03:36:00
