settlement_id,payment_id,order_id,amount,fee,tax,bank_reference,created_at,settled_at
setl_H8xIZM1JRcoreo,pay_nKYaXRvj7uff0L,order_TpigTHKbfoLISR,337095,6905,1243,126332296617,2026-08-08 01:05:00,2026-08-10 01:05:00
setl_aSQHqNgAC72qFl,pay_w9iEU1jjQKxKDp,order_n62tOy4CqpIqK3,215126,4406,793,982661757503,2026-08-18 02:28:00,2026-08-20 02:28:00
setl_1Id9Z850kEnydx,pay_1dOOdTXglHilC2,order_eoPni6JDWYlgAA,473261,9694,1745,927449957129,2026-08-03 11:31:00,2026-08-05 11:31:00
setl_jZRL9OaYsP6ihg,pay_yPstUeC99enq52,order_e1z6JJcfOJtqPt,104890,2148,387,526726249804,2026-08-05 20:27:00,2026-08-07 20:27:00
setl_Wg21nYCsXoblu1,pay_28U5okXkzl5WzP,order_HZKjht3X13npgW,461839,9460,1703,926395919192,2026-09-14 05:34:00,2026-09-16 05:34:00
setl_PFX7TOrPMf7otY,pay_shA6P3MsHarAJO,order_Q6TmA65MPh3FPu,10629,218,39,109674857331,2026-09-03 18:45:00,2026-09-05 18:45:00
setl_dzHzmA4KR1Vxav,pay_qpNVGMrerqtHio,order_iCGItUBY3A4Bj1,479430,9820,1768,789475622403,2026-08-08 15:49:00,2026-08-10 15:49:00
setl_bjhPInRVkLUhY7,pay_VxUZpfbH9vOWOU,order_058H4KPfA1lquC,357426,7321,1318,103693706617,2026-08-26 05:49:00,2026-08-28 05:49:00
setl_Rra6fSEVQOEXfn,pay_tp5rBUJPuEuEvq,order_g7NZRBT7qYHDBT,444675,9108,1639,635454737221,2026-08-27 16:52:00,2026-08-29 16:52:00
setl_oqXKXmhnjqidXK,pay_gVMqfoIjzQDcrr,order_fpIzKMWx4sKAJd,86140,1764,318,894434254587,2026-09-06 10:46:00,2026-09-08 10:46:00
setl_EBdqir2EbNXSta,pay_6YICtu8zF9OHzl,order_GBr9BY8DztgjzE,400410,8202,1476,428196192744,2026-08-12 16:25:00,2026-08-14 16:25:00
setl_URYxPY8EcFK12B,pay_JO1BEuVx518ox1,order_Ix5F21rWz5FYrs,251500,5152,927,547461493668,2026-08-16 15:54:00,2026-08-18 15:54:00
setl_jBvKNAp0mxDoJJ,pay_QlkLxQEKoNCP3C,order_UAgN2BR4cXsxjG,481201,9857,1774,929625670649,2026-08-19 08:04:00,2026-08-21 08:04:00
setl_DeUnPPy0Ifyqhw,pay_fsUkiH8G4ZpZDY,order_XnlpUVQigMcWcw,156271,3201,576,723636469366,2026-08-15 20:48:00,2026-08-17 20:48:00
setl_fLerNHu9GCLgR0,pay_CnMT4OsNb90AgS,order_ObaWoukdTGUDWF,418535,8573,1543,677242344046,2026-08-12 03:49:00,2026-08-14 03:49:00
setl_Rtva1JyiNbUnAv,pay_vIhroAIVMPILOQ,order_uhvPU1S8LvJnOn,309983,6350,1143,377500166264,2026-09-05 19:14:00,2026-09-07 19:14:00
setl_5f0pKGytvukFhF,pay_yUBCetAzNrz7k6,order_asnipuaUkxRFZX,212104,4345,782,937882116761,2026-09-08 01:55:00,2026-09-10 01:55:00
setl_OPhRfINuhR694f,pay_LWOefQrSO42uKi,order_YZ8fOcR9GLw4yW,41437,849,153,650393719127,2026-08-29 03:53:00,2026-08-31 03:53:00
setl_FhfjBFZf4Y25zy,pay_69CrxG7YXipN2I,order_ScwS8LUWoo7W4m,364441,7465,1344,330230731094,2026-09-09 06:01:00,2026-09-11 06:01:00
setl_GF9IyDN8pbWvTM,pay_dZEHNJSsavJlPG,order_BaepZITGgrscAX,435221,8915,1605,773058174668,2026-08-09 16:15:00,2026-08-11 16:15:00
setl_BBT4MANXdPzFUj,pay_E5GXTeLYHteOtL,order_cOr1cOqXByB7vl,287749,5894,1061,086412639014,2026-08-31 09:01:00,2026-09-02 09:01:00
setl_bIwXILft9SGVZe,pay_9PRIssjRRkwn9X,order_hWRnLR9miekS9Y,274805,5629,1013,964638761949,2026-08-25 19:38:00,2026-08-27 19:38:00
setl_QjzCvi1t9vyVFg,pay_cNJOVzNEMr7DXQ,order_rMMfNKKkM3u5c1,110254,2258,406,214109849989,2026-09-10 18:51:00,2026-09-12 18:51:00
setl_mFFciuDCLFuMk9,pay_IwrxBIZMLhfx9I,order_vdE2ODH0A2TVwy,132997,2724,490,723857283695,2026-08-14 20:13:00,2026-08-16 20:13:00
